AÑO,NUMERO PREDIOS,DESCRIPCION,AVALUO DESDE,AVALUO HASTA,TARIFA POR MIL
"2,019","4,397",RURAL,0,"98,000,000",5
"2,019","1,486",RURAL,"98,000,001","150,000,000",5.1
"2,019",988,RURAL,"150,000,001","200,000,000",5.2
"2,019","1,014",RURAL,"200,000,001","250,000,000",5.5
"2,019",658,RURAL,"250,000,001","300,000,000",6
"2,019",864,RURAL,"300,000,001","350,000,000",6.5
"2,019",603,RURAL,"350,000,001","400,000,000",7
"2,019",891,RURAL,"400,000,001","500,000,000",7.5
"2,019",465,RURAL,"500,000,001","600,000,000",8
"2,019",295,RURAL,"600,000,001","700,000,000",8.5
"2,019",357,RURAL,"700,000,001","800,000,000",9
"2,019",263,RURAL,"800,000,001","900,000,000",9.5
"2,019",145,RURAL,"900,000,001","1,000,000,000",10.5
"2,019",210,RURAL,"1,000,000,001","1,500,000,000",11.5
"2,019",78,RURAL,"1,500,000,001","2,000,000,000",12.5
"2,019",48,RURAL,"2,000,000,001","2,500,000,000",13.5
"2,019",42,RURAL,"2,500,000,001","3,000,000,000",14.5
"2,019",179,RURAL,"3,000,000,001","999,999,999,999,999",15.5
"2,019","6,858",URBANO,0,"98,000,000",5
"2,019","1,950",URBANO,"98,000,001","115,000,000",5.1
"2,019","3,517",URBANO,"115,000,001","150,000,000",5.3
"2,019","1,692",URBANO,"150,000,001","175,000,000",5.4
"2,019","1,260",URBANO,"175,000,001","200,000,000",5.6
"2,019","1,701",URBANO,"200,000,001","250,000,000",5.8
"2,019",693,URBANO,"250,000,001","300,000,000",6.1
"2,019",413,URBANO,"300,000,001","350,000,000",6.5
"2,019",191,URBANO,"350,000,001","400,000,000",7
"2,019",188,URBANO,"400,000,001","500,000,000",7.5
"2,019",122,URBANO,"500,000,001","600,000,000",8
"2,019",66,URBANO,"600,000,001","700,000,000",8.5
"2,019",51,URBANO,"700,000,001","800,000,000",9
"2,019",33,URBANO,"800,000,001","900,000,000",10
"2,019",28,URBANO,"900,000,001","1,000,000,000",11
"2,019",58,URBANO,"1,000,000,001","1,500,000,000",12
"2,019",23,URBANO,"1,500,000,001","2,000,000,000",13
"2,019",9,URBANO,"2,000,000,001","2,500,000,000",14
"2,019",7,URBANO,"2,500,000,001","3,000,000,000",15
"2,019",27,URBANO,"3,000,000,001","99,999,999,999,999",16
"2,019",1,AGROPECUARIO SEMI-INTENSIVO,"98,000,001","150,000,000",5.1
"2,019",1,AGROPECUARIO SEMI-INTENSIVO,"150,000,001","200,000,000",5.2
"2,019",1,AGROPECUARIO SEMI-INTENSIVO,"600,000,001","700,000,000",8
"2,019",24,ACTIVIDAD AGROPECUARIA,0,"999,999,999,999,999",7
"2,019",688,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS MTS,0,60,8
"2,019",231,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,61,100,10
"2,019",498,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,101,220,12
"2,019",258,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,221,400,16
"2,019",128,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,401,600,17
"2,019",66,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,601,800,19
"2,019",44,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,801,"1,000",20
"2,019",74,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,"1,001","1,500",21
"2,019",78,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,"1,501","3,000",22
"2,019",65,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,"3,001","6,000",23
"2,019",36,URBANIZABLES NO URBANIZADOS Y NO EDIFICADOS,"6,001","9,999,999,999,999",24
"2,019",11,ACTIVIDAD INDUSTRIAL,0,"500,000,000",11
"2,019",4,ACTIVIDAD INDUSTRIAL,"500,000,001","1,000,000,000",12
"2,019",5,ACTIVIDAD INDUSTRIAL,"1,000,000,001","2,000,000,000",13
"2,019",9,ACTIVIDAD INDUSTRIAL,"2,000,000,001","99,999,999,999,999",14
"2,019","1,191",COMERCIAL Y SERVICIOS,0,"100,000,000",7
"2,019",802,COMERCIAL Y SERVICIOS,"100,000,001","500,000,000",9
"2,019",81,COMERCIAL Y SERVICIOS,"500,000,001","1,000,000,000",11
"2,019",76,COMERCIAL Y SERVICIOS,"1,000,000,001","999,999,999,999,999",13
"2,019","2,424",RURAL ESTRATO UNO Y DOS,0,"111,795,660",3.5
"2,019","6,554",URBANO ESTRATO UNO Y DOS,0,"111,795,660",3.5
"2,019",10,ACTIVIDAD FINANCIERA,0,"99,999,999,999,999",16
"2,019",6,ENTIDADES PUBLICAS DEPARTAMENTAL,0,"999,999,999,999,999",10
"2,019",30,5 *1000 RESERVA FORESTAL PH,0,"999,999,999,999,999",5
"2,019",1,RESGUARDO INDIGENA,0,"99,999,999,999",22
